age,job,marital,education,housing
52,blue-collar,married,primary,yes
35,technician,divorced,secondary,yes
30,unemployed,married,secondary,yes
30,blue-collar,married,secondary,yes
59,retired,divorced,primary,yes
24,blue-collar,married,secondary,yes
34,technician,divorced,secondary,yes
52,entrepreneur,divorced,secondary,no
32,blue-collar,divorced,secondary,yes
44,blue-collar,married,unknown,yes
29,management,single,tertiary,yes
48,technician,married,secondary,yes
34,management,married,tertiary,yes
37,blue-collar,married,primary,yes
35,management,married,secondary,yes
45,blue-collar,divorced,secondary,yes
31,services,married,secondary,yes
38,entrepreneur,divorced,tertiary,yes
31,admin.,divorced,secondary,yes
26,blue-collar,single,secondary,yes
37,admin.,married,secondary,yes
39,technician,married,secondary,no
34,services,married,secondary,yes
29,management,married,secondary,yes
53,blue-collar,single,secondary,yes
49,admin.,divorced,secondary,yes
34,blue-collar,divorced,secondary,yes
31,technician,married,secondary,yes
28,blue-collar,married,secondary,yes
33,admin.,married,secondary,yes
33,services,married,secondary,yes
24,technician,single,secondary,yes
34,management,single,tertiary,yes
48,management,divorced,tertiary,yes
42,blue-collar,married,unknown,no
34,unemployed,single,secondary,yes
35,technician,married,secondary,yes
43,blue-collar,married,primary,yes
35,services,married,secondary,yes
59,technician,married,secondary,yes
42,blue-collar,married,secondary,yes
35,technician,single,secondary,no
54,technician,married,tertiary,yes
50,services,married,secondary,yes
44,technician,married,secondary,no
23,management,married,tertiary,yes
39,entrepreneur,married,secondary,yes
56,retired,married,secondary,yes
27,technician,single,secondary,yes
31,management,single,tertiary,yes
29,student,single,tertiary,no
43,blue-collar,married,secondary,yes
28,management,married,tertiary,no
46,blue-collar,married,secondary,yes
36,services,married,secondary,yes
28,technician,single,tertiary,yes
38,admin.,divorced,secondary,yes
31,technician,married,tertiary,yes
40,services,married,secondary,yes
40,blue-collar,married,primary,yes
32,technician,married,secondary,yes
39,management,married,tertiary,yes
28,admin.,single,secondary,yes
41,unknown,married,primary,no
54,blue-collar,married,secondary,yes
31,technician,married,secondary,yes
41,admin.,divorced,secondary,yes
38,technician,married,secondary,yes
30,unemployed,single,tertiary,no
57,services,divorced,secondary,yes
30,technician,single,tertiary,yes
40,admin.,married,secondary,yes
46,technician,married,unknown,yes
43,blue-collar,married,primary,yes
35,blue-collar,married,primary,yes
38,unemployed,married,tertiary,no
44,blue-collar,married,primary,yes
43,management,married,tertiary,yes
37,services,married,secondary,yes
35,technician,divorced,secondary,yes
33,blue-collar,married,secondary,yes
43,admin.,married,secondary,yes
33,technician,married,tertiary,yes
31,management,divorced,tertiary,yes
32,technician,married,secondary,yes
28,blue-collar,married,secondary,yes
36,technician,married,secondary,no
33,blue-collar,married,primary,yes
37,blue-collar,married,secondary,yes
39,blue-collar,married,primary,yes
45,blue-collar,married,secondary,yes
44,admin.,married,secondary,no
53,blue-collar,married,secondary,yes
47,blue-collar,married,secondary,yes
59,management,married,primary,yes
27,admin.,married,secondary,yes
45,management,married,secondary,yes
30,services,married,secondary,yes
40,blue-collar,married,secondary,yes
33,management,married,tertiary,yes
30,admin.,married,secondary,yes
26,admin.,married,tertiary,yes
45,management,divorced,tertiary,yes
33,management,single,secondary,yes
28,technician,single,secondary,yes
44,blue-collar,married,primary,yes
58,blue-collar,married,secondary,yes
46,management,single,tertiary,yes
48,blue-collar,married,secondary,yes
24,management,single,tertiary,yes
35,technician,divorced,secondary,yes
33,technician,married,secondary,yes
37,blue-collar,married,primary,yes
33,management,single,secondary,yes
23,blue-collar,married,secondary,yes
33,admin.,single,secondary,yes
31,blue-collar,married,secondary,yes
29,technician,single,secondary,yes
43,technician,divorced,secondary,yes
32,unemployed,married,primary,yes
37,technician,married,secondary,yes
26,blue-collar,single,secondary,yes
49,technician,married,secondary,yes
39,management,single,tertiary,yes
27,self-employed,married,secondary,yes
33,technician,single,secondary,yes
46,management,divorced,tertiary,no
31,services,single,secondary,yes
54,retired,married,secondary,yes
59,services,married,secondary,yes
24,blue-collar,married,secondary,yes
33,blue-collar,married,secondary,yes
28,technician,single,secondary,yes
34,services,married,secondary,yes
53,management,married,primary,yes
45,blue-collar,married,secondary,yes
28,technician,single,secondary,yes
49,blue-collar,married,primary,no
35,blue-collar,married,secondary,yes
32,blue-collar,married,primary,yes
43,services,married,primary,yes
29,self-employed,married,secondary,no
54,management,single,tertiary,yes
39,entrepreneur,married,tertiary,yes
32,technician,single,secondary,yes
26,services,single,secondary,yes
31,unemployed,married,secondary,yes
52,blue-collar,divorced,secondary,yes
32,technician,married,tertiary,yes
41,blue-collar,married,primary,yes
40,technician,married,secondary,yes
45,blue-collar,married,secondary,yes
37,blue-collar,married,primary,yes
34,blue-collar,married,primary,yes
31,blue-collar,single,secondary,no
42,admin.,divorced,secondary,yes
23,services,married,secondary,yes
37,management,married,tertiary,yes
32,blue-collar,single,secondary,yes
39,blue-collar,married,secondary,yes
31,blue-collar,single,secondary,yes
32,blue-collar,married,primary,yes
59,retired,married,primary,yes
31,unemployed,single,secondary,yes
45,technician,divorced,secondary,yes
36,technician,married,secondary,yes
33,blue-collar,married,secondary,yes
34,blue-collar,married,primary,yes
48,management,married,secondary,yes
55,blue-collar,single,primary,yes
33,admin.,divorced,secondary,yes
28,services,single,secondary,yes
34,blue-collar,married,primary,yes
33,blue-collar,married,secondary,yes
60,retired,married,primary,yes
39,blue-collar,married,primary,yes
35,blue-collar,married,secondary,no
31,management,married,unknown,yes
38,blue-collar,married,primary,yes
28,student,single,secondary,yes
48,blue-collar,married,secondary,yes
37,blue-collar,single,secondary,yes
32,admin.,divorced,secondary,yes
30,services,single,tertiary,yes
37,management,single,tertiary,yes
24,management,single,tertiary,yes
30,blue-collar,single,secondary,yes
33,services,married,secondary,yes
33,management,married,tertiary,yes
34,management,single,tertiary,yes
43,services,married,secondary,yes
41,services,married,secondary,yes
34,blue-collar,married,secondary,yes
46,technician,divorced,secondary,yes
32,technician,single,secondary,yes
52,blue-collar,married,unknown,no
35,blue-collar,married,primary,yes
27,technician,married,secondary,yes
36,blue-collar,married,secondary,yes
52,blue-collar,married,primary,yes
47,management,married,tertiary,yes
34,management,married,tertiary,yes
38,entrepreneur,single,tertiary,yes
24,blue-collar,married,secondary,yes
50,technician,single,secondary,yes
36,blue-collar,married,secondary,yes
37,entrepreneur,married,secondary,yes
51,blue-collar,married,primary,no
40,blue-collar,single,secondary,yes
39,technician,married,secondary,yes
38,services,single,secondary,yes
43,management,single,secondary,yes
50,technician,married,secondary,yes
35,unemployed,married,tertiary,no
49,management,married,secondary,yes
36,blue-collar,married,secondary,yes
47,technician,divorced,tertiary,no
54,management,married,tertiary,yes
48,admin.,married,primary,yes
43,admin.,married,secondary,yes
49,blue-collar,married,secondary,yes
32,admin.,single,secondary,no
42,admin.,married,secondary,yes
38,blue-collar,married,primary,yes
44,blue-collar,divorced,secondary,yes
31,management,married,tertiary,no
30,admin.,married,tertiary,yes
38,management,divorced,tertiary,yes
60,entrepreneur,divorced,secondary,yes
35,management,married,tertiary,yes
29,blue-collar,married,secondary,yes
43,services,married,secondary,yes
36,admin.,married,secondary,yes
29,blue-collar,married,primary,yes
53,technician,married,secondary,yes
38,technician,married,secondary,yes
59,retired,single,secondary,yes
28,blue-collar,single,secondary,yes
36,services,single,secondary,yes
40,admin.,married,primary,yes
36,management,married,tertiary,yes
58,management,divorced,tertiary,yes
49,self-employed,married,primary,yes
43,blue-collar,married,primary,yes
55,technician,married,secondary,yes
35,blue-collar,married,secondary,yes
50,blue-collar,married,secondary,yes
48,blue-collar,married,secondary,yes
28,services,single,tertiary,yes
34,services,single,secondary,yes
37,blue-collar,married,secondary,no
33,technician,divorced,secondary,yes
58,admin.,married,secondary,yes
44,blue-collar,single,secondary,yes
49,technician,married,secondary,yes
28,blue-collar,married,primary,yes
39,technician,married,secondary,yes
26,admin.,married,secondary,yes
31,blue-collar,married,primary,yes
32,blue-collar,married,secondary,yes
52,admin.,married,secondary,no
32,services,married,secondary,no
28,entrepreneur,married,secondary,yes
32,management,married,tertiary,yes
28,blue-collar,married,primary,yes
53,technician,married,secondary,yes
33,technician,single,secondary,yes
39,management,single,tertiary,yes
37,technician,married,secondary,yes
45,technician,married,unknown,yes
37,services,married,secondary,yes
45,blue-collar,married,secondary,yes
31,blue-collar,married,secondary,yes
32,blue-collar,married,secondary,yes
34,blue-collar,married,primary,yes
39,housemaid,married,primary,yes
56,blue-collar,married,primary,yes
32,technician,single,secondary,yes
31,technician,married,secondary,yes
43,admin.,married,secondary,yes
33,technician,married,secondary,yes
23,admin.,married,secondary,yes
32,admin.,married,secondary,yes
32,management,divorced,tertiary,yes
39,blue-collar,married,secondary,yes
39,services,single,secondary,yes
30,entrepreneur,single,primary,yes
37,unknown,single,secondary,yes
46,management,married,primary,yes
29,technician,single,secondary,no
51,blue-collar,married,primary,yes
46,blue-collar,married,secondary,yes
31,admin.,single,secondary,yes
40,blue-collar,married,primary,yes
26,technician,divorced,tertiary,yes
32,admin.,married,secondary,no
27,admin.,married,secondary,yes
36,services,divorced,secondary,yes
36,blue-collar,married,unknown,yes
27,admin.,single,secondary,yes
56,management,divorced,tertiary,yes
28,blue-collar,married,secondary,yes
34,management,married,secondary,yes
34,blue-collar,married,secondary,yes
45,technician,divorced,secondary,yes
40,admin.,married,secondary,yes
25,blue-collar,single,secondary,yes
32,admin.,single,secondary,no
28,management,single,tertiary,yes
33,blue-collar,married,primary,yes
32,blue-collar,married,primary,yes
36,admin.,single,unknown,yes
38,admin.,divorced,secondary,yes
23,admin.,single,secondary,yes
22,technician,single,secondary,yes
56,retired,divorced,secondary,yes
35,blue-collar,single,secondary,yes
33,services,divorced,secondary,yes
30,blue-collar,married,secondary,yes
34,admin.,married,secondary,no
59,retired,married,secondary,yes
26,admin.,married,secondary,yes
42,admin.,married,secondary,yes
48,blue-collar,married,secondary,yes
31,services,married,secondary,yes
28,entrepreneur,single,tertiary,yes
36,admin.,married,secondary,yes
27,student,single,unknown,yes
39,blue-collar,married,primary,yes
35,technician,married,tertiary,yes
28,management,single,tertiary,yes
32,technician,married,tertiary,no
28,blue-collar,single,secondary,yes
34,blue-collar,married,secondary,yes
51,blue-collar,married,primary,yes
50,management,married,secondary,yes
49,unemployed,married,primary,yes
36,management,single,tertiary,yes
55,technician,married,secondary,yes
58,management,divorced,tertiary,no
41,services,married,secondary,yes
29,admin.,single,tertiary,yes
36,entrepreneur,married,tertiary,yes
24,admin.,single,secondary,yes
31,management,single,tertiary,yes
30,management,single,tertiary,yes
24,technician,single,tertiary,yes
36,blue-collar,married,primary,yes
51,blue-collar,divorced,secondary,yes
23,blue-collar,single,primary,yes
26,blue-collar,single,primary,yes
29,services,single,tertiary,yes
41,self-employed,married,primary,yes
35,services,married,secondary,yes
42,services,married,secondary,yes
29,services,married,secondary,yes
34,entrepreneur,married,secondary,yes
34,management,single,tertiary,yes
58,retired,married,primary,yes
31,blue-collar,married,secondary,yes
32,management,married,tertiary,yes
56,management,divorced,tertiary,yes
34,blue-collar,single,secondary,yes
30,blue-collar,married,secondary,yes
31,management,single,tertiary,yes
28,student,single,secondary,no
57,management,single,tertiary,yes
35,blue-collar,single,primary,yes
46,technician,divorced,secondary,yes
51,management,married,tertiary,no
38,blue-collar,married,primary,yes
33,services,divorced,secondary,yes
21,blue-collar,married,secondary,yes
38,technician,single,secondary,yes
49,admin.,divorced,secondary,yes
54,blue-collar,married,primary,yes
42,admin.,single,secondary,yes
44,blue-collar,divorced,primary,yes
31,services,married,secondary,yes
52,technician,divorced,secondary,yes
27,self-employed,single,tertiary,yes
33,blue-collar,married,secondary,yes
40,technician,married,secondary,yes
57,housemaid,married,primary,yes
52,services,married,primary,yes
30,technician,single,secondary,yes
25,blue-collar,single,secondary,yes
36,admin.,married,secondary,yes
51,blue-collar,single,secondary,yes
32,admin.,single,secondary,yes
44,admin.,divorced,secondary,yes
26,technician,divorced,secondary,yes
54,admin.,divorced,secondary,yes
27,blue-collar,single,secondary,yes
37,admin.,married,secondary,yes
30,services,married,secondary,yes
46,technician,married,secondary,yes
36,services,single,secondary,no
46,blue-collar,married,primary,yes
36,technician,married,secondary,yes
31,blue-collar,married,secondary,no
35,services,married,secondary,yes
25,blue-collar,single,secondary,no
21,admin.,single,unknown,yes
30,management,married,tertiary,yes
44,technician,divorced,secondary,yes
34,technician,single,secondary,yes
34,blue-collar,married,secondary,yes
32,admin.,married,secondary,yes
40,management,divorced,tertiary,yes
31,blue-collar,single,secondary,yes
29,admin.,single,secondary,yes
33,blue-collar,married,secondary,yes
47,admin.,divorced,secondary,yes
31,services,married,secondary,yes
29,blue-collar,married,primary,yes
31,admin.,single,secondary,yes
34,admin.,single,secondary,yes
28,student,single,tertiary,yes
42,admin.,married,primary,yes
29,blue-collar,married,secondary,yes
53,self-employed,married,primary,yes
39,blue-collar,married,secondary,yes
33,management,divorced,tertiary,yes
31,management,married,tertiary,yes
34,services,married,secondary,no
43,unemployed,divorced,secondary,yes
33,blue-collar,married,tertiary,yes
33,admin.,divorced,secondary,yes
25,technician,married,unknown,yes
34,blue-collar,married,secondary,yes
26,blue-collar,single,secondary,yes
42,blue-collar,married,secondary,yes
40,blue-collar,married,primary,yes
33,blue-collar,married,primary,yes
39,blue-collar,married,primary,yes
24,self-employed,single,tertiary,yes
30,unemployed,married,secondary,yes
49,management,married,tertiary,yes
33,services,married,secondary,yes
39,management,divorced,tertiary,yes
30,blue-collar,married,secondary,no
49,technician,married,secondary,yes
60,technician,married,tertiary,yes
43,technician,single,secondary,yes
33,entrepreneur,married,secondary,yes
30,entrepreneur,married,secondary,yes
24,blue-collar,single,secondary,yes
48,management,divorced,tertiary,yes
26,admin.,married,secondary,no
31,admin.,married,secondary,yes
36,management,married,tertiary,yes
36,management,married,tertiary,no
31,blue-collar,single,secondary,yes
53,admin.,divorced,secondary,yes
32,management,married,tertiary,no
47,technician,married,tertiary,yes
34,management,single,primary,no
43,management,divorced,tertiary,yes
42,services,married,secondary,yes
34,admin.,married,secondary,yes
30,admin.,single,secondary,yes
31,management,single,tertiary,yes
52,technician,married,secondary,yes
27,admin.,single,secondary,yes
51,technician,married,secondary,yes
38,management,single,tertiary,yes
41,admin.,divorced,secondary,yes
60,technician,divorced,tertiary,yes
53,blue-collar,married,primary,yes
56,retired,divorced,primary,yes
37,entrepreneur,single,tertiary,yes
35,services,single,secondary,yes
37,entrepreneur,married,tertiary,yes
35,management,married,secondary,yes
44,services,married,secondary,yes
33,admin.,married,secondary,yes
36,admin.,divorced,secondary,yes
27,services,single,secondary,yes
34,blue-collar,married,secondary,yes
30,blue-collar,single,secondary,no
33,management,single,tertiary,no
26,services,divorced,primary,yes
29,self-employed,married,secondary,yes
33,technician,married,secondary,yes
30,technician,single,secondary,yes
36,admin.,married,secondary,yes
36,admin.,divorced,secondary,yes
47,management,divorced,tertiary,yes
37,blue-collar,divorced,secondary,yes
32,blue-collar,married,primary,yes
28,unemployed,married,secondary,yes
28,technician,married,secondary,yes
53,blue-collar,single,unknown,yes
26,blue-collar,married,secondary,yes
42,unemployed,married,secondary,yes
29,management,single,tertiary,yes
32,admin.,single,secondary,yes
46,management,married,tertiary,yes
52,retired,divorced,secondary,yes
28,admin.,single,secondary,yes
45,entrepreneur,married,primary,yes
25,blue-collar,single,primary,yes
60,blue-collar,married,primary,no
26,blue-collar,married,primary,yes
38,blue-collar,married,secondary,yes
23,blue-collar,single,secondary,yes
35,blue-collar,married,primary,yes
22,technician,single,secondary,yes
34,technician,single,secondary,yes
41,services,married,secondary,yes
28,management,single,tertiary,yes
32,services,single,secondary,yes
27,housemaid,married,secondary,yes
25,blue-collar,single,secondary,yes
25,blue-collar,married,secondary,yes
37,blue-collar,married,secondary,no
37,blue-collar,single,tertiary,no
40,admin.,married,secondary,yes
58,blue-collar,married,secondary,yes
24,services,married,tertiary,yes
52,management,married,secondary,yes
28,blue-collar,married,secondary,yes
29,technician,single,secondary,yes
30,technician,single,tertiary,yes
35,management,married,tertiary,yes
34,management,single,tertiary,yes
51,management,married,tertiary,yes
29,technician,single,secondary,yes
35,management,married,tertiary,yes
32,services,single,secondary,yes
29,entrepreneur,married,secondary,yes
35,technician,divorced,secondary,yes
28,blue-collar,married,secondary,yes
34,services,married,secondary,yes
32,services,married,secondary,yes
24,technician,single,secondary,yes
45,admin.,divorced,secondary,yes
25,services,married,secondary,yes
33,services,married,secondary,yes
42,blue-collar,married,secondary,yes
41,blue-collar,married,secondary,yes
35,services,married,secondary,yes
31,blue-collar,married,secondary,yes
29,management,single,secondary,yes
26,technician,single,secondary,yes
46,blue-collar,married,primary,yes
35,technician,single,secondary,yes
53,management,married,primary,yes
31,technician,married,secondary,yes
49,admin.,divorced,secondary,yes
44,blue-collar,divorced,secondary,yes
39,technician,married,secondary,yes
28,management,married,tertiary,yes
28,admin.,married,secondary,yes
31,management,married,tertiary,yes
38,management,married,secondary,yes
30,blue-collar,single,secondary,yes
29,management,married,tertiary,yes
38,technician,married,secondary,yes
31,admin.,single,secondary,yes
24,technician,single,unknown,yes
59,management,divorced,tertiary,no
22,technician,single,secondary,yes
29,blue-collar,married,primary,yes
31,blue-collar,single,secondary,yes
38,blue-collar,single,secondary,yes
51,blue-collar,divorced,secondary,yes
27,admin.,married,secondary,yes
34,management,married,secondary,yes
29,management,single,tertiary,no
27,blue-collar,married,secondary,yes
28,services,single,secondary,yes
38,services,married,secondary,yes
45,admin.,married,secondary,yes
44,services,divorced,secondary,yes
27,admin.,married,secondary,yes
41,technician,married,secondary,yes
44,technician,divorced,secondary,yes
41,technician,married,secondary,yes
27,unemployed,single,secondary,yes
38,technician,married,secondary,yes
30,blue-collar,single,secondary,yes
31,blue-collar,married,secondary,yes
25,blue-collar,single,secondary,yes
32,blue-collar,married,secondary,yes
30,blue-collar,married,secondary,no
30,management,single,tertiary,yes
36,services,single,secondary,yes
30,management,married,secondary,yes
38,technician,married,secondary,yes
41,technician,married,tertiary,yes
34,blue-collar,married,secondary,yes
45,unemployed,married,primary,yes
36,blue-collar,married,secondary,yes
34,blue-collar,single,secondary,yes
30,blue-collar,married,primary,yes
36,services,single,secondary,yes
28,blue-collar,single,unknown,yes
29,entrepreneur,married,tertiary,yes
36,services,single,secondary,yes
32,management,single,tertiary,yes
28,admin.,single,secondary,yes
35,entrepreneur,married,tertiary,yes
24,blue-collar,married,secondary,yes
36,technician,married,primary,yes
30,management,married,tertiary,yes
35,technician,married,secondary,yes
34,blue-collar,single,secondary,yes
32,services,married,secondary,yes
26,blue-collar,married,secondary,yes
24,admin.,single,secondary,yes
40,management,divorced,tertiary,yes
32,blue-collar,married,primary,yes
43,technician,married,secondary,yes
29,blue-collar,married,secondary,yes
34,admin.,single,secondary,yes
34,services,single,secondary,yes
24,blue-collar,single,primary,yes
49,technician,divorced,secondary,yes
37,services,married,secondary,yes
26,technician,single,secondary,yes
43,management,married,tertiary,yes
39,management,married,tertiary,yes
36,management,single,tertiary,yes
25,entrepreneur,single,tertiary,yes
47,entrepreneur,married,tertiary,yes
37,technician,married,secondary,yes
20,student,single,tertiary,yes
28,management,married,tertiary,yes
29,management,single,secondary,yes
31,services,married,secondary,no
26,student,single,secondary,yes
41,admin.,married,secondary,yes
48,housemaid,married,primary,yes
34,blue-collar,married,primary,yes
30,management,single,tertiary,yes
34,technician,married,secondary,yes
43,blue-collar,divorced,primary,yes
25,technician,divorced,tertiary,no
40,management,single,tertiary,yes
35,management,single,tertiary,yes
34,blue-collar,married,secondary,yes
26,technician,single,secondary,yes
30,self-employed,single,tertiary,no
34,technician,married,secondary,yes
45,technician,divorced,secondary,yes
44,blue-collar,married,primary,yes
34,unemployed,single,tertiary,yes
39,technician,married,primary,yes
47,admin.,married,secondary,yes
35,blue-collar,married,primary,yes
49,blue-collar,divorced,primary,yes
28,technician,single,secondary,yes
30,services,married,secondary,no
31,blue-collar,married,secondary,yes
31,management,married,tertiary,yes
39,management,married,tertiary,no
28,blue-collar,married,secondary,yes
27,admin.,single,secondary,yes
35,blue-collar,married,primary,yes
47,technician,divorced,tertiary,yes
33,admin.,married,secondary,yes
34,technician,single,secondary,yes
33,management,married,tertiary,yes
33,technician,single,tertiary,yes
24,management,married,secondary,yes
29,blue-collar,divorced,primary,yes
42,services,married,secondary,yes
57,blue-collar,married,primary,yes
39,management,married,tertiary,yes
33,blue-collar,married,primary,yes
43,blue-collar,married,primary,yes
26,blue-collar,married,secondary,yes
32,management,married,tertiary,yes
34,technician,single,tertiary,no
31,blue-collar,single,tertiary,yes
48,blue-collar,married,primary,yes
32,blue-collar,single,secondary,yes
55,management,married,tertiary,no
38,blue-collar,single,primary,yes
36,services,single,secondary,yes
32,unknown,single,secondary,no
38,admin.,married,secondary,yes
46,management,divorced,tertiary,yes
28,technician,single,tertiary,yes
36,blue-collar,married,primary,yes
44,blue-collar,single,secondary,yes
27,blue-collar,married,secondary,no
39,management,married,secondary,yes
37,admin.,single,secondary,no
38,entrepreneur,married,secondary,yes
34,blue-collar,married,primary,yes
32,technician,married,secondary,yes
39,blue-collar,married,tertiary,yes
52,admin.,married,secondary,yes
40,admin.,single,secondary,yes
56,admin.,married,secondary,yes
53,technician,divorced,secondary,yes
39,management,married,tertiary,no
29,management,married,tertiary,yes
32,management,married,secondary,yes
25,blue-collar,married,primary,yes
30,unemployed,single,secondary,yes
45,blue-collar,married,secondary,yes
35,technician,single,secondary,yes
36,admin.,single,secondary,yes
32,blue-collar,married,secondary,yes
40,management,single,tertiary,yes
37,admin.,married,secondary,no
23,admin.,single,secondary,yes
37,blue-collar,married,secondary,yes
49,technician,divorced,secondary,yes
53,blue-collar,divorced,unknown,yes
53,services,married,primary,no
33,blue-collar,single,tertiary,yes
29,blue-collar,married,primary,yes
37,admin.,single,secondary,yes
33,management,single,secondary,yes
45,blue-collar,married,primary,yes
52,admin.,single,secondary,no
48,management,single,secondary,yes
29,management,married,tertiary,no
40,services,divorced,secondary,yes
36,blue-collar,divorced,secondary,yes
44,admin.,divorced,secondary,yes
31,admin.,divorced,secondary,no
30,self-employed,single,secondary,yes
32,technician,single,secondary,yes
38,blue-collar,married,secondary,yes
34,management,single,tertiary,no
39,technician,married,secondary,yes
39,blue-collar,married,secondary,yes
38,technician,single,secondary,yes
31,services,single,secondary,yes
33,technician,married,secondary,yes
33,admin.,single,secondary,yes
30,blue-collar,married,secondary,yes
37,admin.,married,secondary,yes
42,services,married,secondary,no
59,management,single,tertiary,yes
25,technician,single,tertiary,yes
35,services,single,secondary,yes
29,management,married,tertiary,no
37,technician,divorced,secondary,yes
26,entrepreneur,single,secondary,yes
45,management,divorced,tertiary,yes
28,admin.,married,secondary,yes
38,services,divorced,secondary,yes
57,services,divorced,secondary,yes
26,management,single,tertiary,yes
34,student,single,primary,no
44,retired,divorced,primary,yes
29,management,married,tertiary,yes
44,blue-collar,married,secondary,yes
26,technician,single,secondary,yes
36,blue-collar,single,primary,yes
30,management,single,tertiary,yes
29,technician,married,tertiary,yes
30,services,married,unknown,yes
29,management,single,tertiary,yes
59,management,divorced,secondary,yes
31,technician,single,secondary,no
26,blue-collar,single,secondary,yes
30,technician,single,tertiary,yes
37,technician,married,secondary,yes
42,technician,married,secondary,yes
30,technician,single,secondary,yes
32,technician,married,tertiary,yes
46,technician,married,secondary,yes
28,blue-collar,single,secondary,yes
26,blue-collar,married,primary,yes
29,housemaid,married,tertiary,yes
29,services,married,secondary,yes
37,entrepreneur,married,secondary,yes
31,blue-collar,married,primary,yes
31,admin.,single,secondary,yes
27,management,single,secondary,yes
28,management,single,tertiary,yes
41,management,married,primary,yes
45,services,married,secondary,yes
24,blue-collar,single,secondary,yes
28,services,single,secondary,yes
30,services,married,secondary,yes
26,services,married,secondary,yes
23,blue-collar,single,secondary,yes
25,admin.,single,secondary,yes
28,services,married,secondary,no
31,technician,married,secondary,yes
31,services,single,secondary,yes
33,admin.,divorced,secondary,yes
27,admin.,single,secondary,yes
37,technician,single,secondary,yes
49,blue-collar,married,secondary,yes
30,technician,single,tertiary,yes
24,blue-collar,married,secondary,no
39,blue-collar,divorced,secondary,no
36,self-employed,married,tertiary,yes
24,services,single,secondary,yes
29,blue-collar,single,secondary,yes
53,technician,divorced,secondary,no
46,admin.,single,secondary,yes
28,blue-collar,single,secondary,yes
35,services,married,secondary,yes
29,admin.,single,secondary,yes
33,technician,married,tertiary,yes
32,services,single,secondary,yes
27,services,single,secondary,yes
34,blue-collar,single,secondary,yes
31,blue-collar,married,secondary,yes
41,admin.,divorced,secondary,yes
30,admin.,single,secondary,yes
29,blue-collar,married,primary,yes
38,technician,married,secondary,yes
33,blue-collar,single,secondary,no
27,technician,single,secondary,yes
49,management,divorced,tertiary,yes
24,blue-collar,married,primary,yes
27,blue-collar,single,secondary,yes
31,admin.,married,secondary,yes
42,blue-collar,married,secondary,yes
42,admin.,married,secondary,yes
22,blue-collar,married,secondary,yes
54,technician,married,secondary,yes
28,blue-collar,single,unknown,yes
40,management,married,tertiary,yes
48,admin.,single,secondary,yes
46,admin.,married,secondary,yes
42,blue-collar,divorced,secondary,yes
39,blue-collar,married,primary,yes
29,management,married,tertiary,yes
40,admin.,married,secondary,yes
35,blue-collar,married,secondary,yes
38,technician,divorced,secondary,yes
33,self-employed,married,tertiary,yes
31,blue-collar,single,primary,yes
28,blue-collar,divorced,unknown,yes
30,technician,divorced,secondary,yes
42,blue-collar,married,secondary,yes
28,blue-collar,single,secondary,yes
43,technician,married,secondary,no
28,services,single,secondary,yes
29,services,married,secondary,yes
36,blue-collar,married,secondary,yes
25,blue-collar,single,secondary,yes
28,blue-collar,single,secondary,no
61,retired,divorced,secondary,yes
32,admin.,single,secondary,yes
29,management,married,tertiary,yes
26,technician,married,secondary,yes
29,blue-collar,single,primary,yes
30,services,married,primary,yes
46,blue-collar,married,unknown,yes
53,blue-collar,single,primary,yes
28,blue-collar,married,primary,yes
27,technician,married,secondary,yes
27,blue-collar,single,secondary,yes
25,services,single,secondary,yes
38,technician,divorced,secondary,yes
40,blue-collar,divorced,secondary,yes
27,services,single,secondary,yes
50,blue-collar,married,primary,yes
47,blue-collar,married,secondary,yes
60,blue-collar,married,primary,yes
45,blue-collar,married,unknown,yes
29,self-employed,single,secondary,yes
32,unemployed,married,secondary,yes
25,blue-collar,single,secondary,yes
28,blue-collar,married,secondary,yes
24,student,single,unknown,yes
34,services,married,secondary,yes
50,blue-collar,married,primary,yes
44,admin.,married,secondary,yes
29,blue-collar,married,secondary,yes
29,admin.,married,secondary,yes
25,self-employed,single,secondary,yes
44,entrepreneur,married,secondary,no
52,blue-collar,married,secondary,yes
47,technician,married,secondary,yes
35,technician,married,secondary,yes
28,blue-collar,single,secondary,yes
32,management,married,tertiary,yes
26,admin.,single,tertiary,yes
57,management,married,primary,no
53,services,divorced,secondary,yes
29,services,married,tertiary,yes
24,blue-collar,single,secondary,yes
26,blue-collar,single,primary,yes
29,management,married,tertiary,yes
42,technician,married,secondary,yes
36,technician,married,secondary,yes
26,technician,single,secondary,yes
24,technician,single,secondary,yes
29,management,single,tertiary,yes
51,technician,single,secondary,yes
31,blue-collar,single,secondary,yes
29,management,single,tertiary,yes
28,management,married,secondary,yes
23,services,single,secondary,yes
26,blue-collar,single,secondary,yes
42,technician,married,secondary,yes
40,admin.,divorced,secondary,yes
28,blue-collar,married,secondary,no
27,student,single,secondary,yes
25,admin.,married,secondary,yes
29,technician,single,secondary,yes
29,blue-collar,single,primary,yes
28,services,single,secondary,yes
29,management,single,tertiary,yes
24,services,single,secondary,yes
26,admin.,single,secondary,yes
32,admin.,single,secondary,yes
26,services,single,tertiary,yes
31,technician,single,primary,yes
28,management,single,tertiary,no
52,entrepreneur,married,primary,yes
27,technician,married,secondary,yes
38,blue-collar,married,secondary,yes
35,technician,single,tertiary,yes
38,technician,single,secondary,yes
